Participant,Seconds,angry,afraid,happy,sad,neutral
T051,543.0,,,,,
T051,544.0,,,,,
T051,545.0,,,,,
T051,546.0,,,,,
T051,547.0,,,,,
T051,548.0,,,,,
T051,549.0,,,,,
T051,550.0,,,,,
T051,551.0,,,,,
T051,552.0,,,,,
T051,553.0,,,,,
T051,554.0,,,,,
T051,555.0,,,,,
T051,556.0,,,,,
T051,557.0,,,,,
T051,558.0,,,,,
T051,559.0,,,,,
T051,560.0,,,,,
T051,561.0,,,,,
T051,562.0,,,,,
T051,563.0,,,,,
T051,564.0,,,,,
T051,565.0,,,,,
T051,566.0,,,,,
T051,567.0,,,,,
T051,568.0,,,,,
T051,569.0,,,,,
T051,570.0,,,,,
T051,571.0,,,,,
T051,572.0,,,,,
T051,573.0,,,,,
T051,574.0,,,,,
T051,575.0,,,,,
T051,576.0,,,,,
T051,577.0,,,,,
T051,578.0,,,,,
T051,579.0,,,,,
T051,580.0,,,,,
T051,581.0,,,,,
T051,582.0,,,,,
T051,583.0,,,,,
T051,584.0,,,,,
T051,585.0,,,,,
T051,586.0,,,,,
T051,587.0,,,,,
T051,588.0,,,,,
T051,589.0,,,,,
T051,590.0,,,,,
T051,591.0,,,,,
T051,592.0,,,,,
T051,593.0,,,,,
T051,594.0,,,,,
T051,595.0,,,,,
T051,596.0,,,,,
T051,597.0,,,,,
T051,598.0,,,,,
T051,599.0,,,,,
T051,600.0,,,,,
T051,601.0,,,,,
T051,602.0,,,,,
T051,603.0,,,,,
T051,604.0,,,,,
T051,605.0,,,,,
T051,606.0,,,,,
T051,607.0,,,,,
T051,608.0,,,,,
T051,609.0,,,,,
T051,610.0,,,,,
T051,611.0,,,,,
T051,612.0,,,,,
T051,613.0,,,,,
T051,614.0,,,,,
T051,615.0,,,,,
T051,616.0,,,,,
T051,617.0,,,,,
T051,618.0,,,,,
T051,619.0,,,,,
T051,620.0,,,,,
T051,621.0,,,,,
T051,622.0,,,,,
T051,623.0,,,,,
T051,624.0,,,,,
T051,625.0,,,,,
T051,626.0,,,,,
T051,627.0,,,,,
T051,628.0,,,,,
T051,629.0,,,,,
T051,630.0,,,,,
T051,631.0,,,,,
T051,632.0,,,,,
T051,633.0,,,,,
T051,634.0,,,,,
T051,635.0,,,,,
T051,636.0,,,,,
T051,637.0,,,,,
T051,638.0,,,,,
T051,639.0,,,,,
T051,640.0,,,,,
T051,641.0,,,,,
T051,642.0,,,,,
T051,643.0,,,,,
T051,644.0,,,,,
T051,645.0,,,,,
T051,646.0,,,,,
T051,647.0,,,,,
T051,648.0,,,,,
T051,649.0,,,,,
T051,650.0,,,,,
T051,651.0,,,,,
T051,652.0,,,,,
T051,653.0,,,,,
T051,654.0,,,,,
T051,655.0,,,,,
T051,656.0,,,,,
T051,657.0,,,,,
T051,658.0,,,,,
T051,659.0,,,,,
T051,660.0,,,,,
T051,661.0,,,,,
T051,662.0,,,,,
T051,663.0,,,,,
T051,664.0,,,,,
T051,665.0,,,,,
T051,666.0,,,,,
T051,667.0,,,,,
T051,668.0,,,,,
T051,669.0,,,,,
T051,670.0,,,,,
T051,671.0,,,,,
T051,672.0,,,,,
T051,673.0,,,,,
T051,674.0,,,,,
T051,675.0,,,,,
T051,676.0,,,,,
T051,677.0,,,,,
T051,678.0,,,,,
T051,679.0,,,,,
T051,680.0,,,,,
T051,681.0,,,,,
T051,682.0,,,,,
T051,683.0,,,,,
T051,684.0,,,,,
T051,685.0,,,,,
T051,686.0,,,,,
T051,687.0,,,,,
T051,688.0,,,,,
T051,689.0,,,,,
T051,690.0,,,,,
T051,691.0,,,,,
T051,692.0,,,,,
T051,693.0,,,,,
T051,694.0,,,,,
T051,695.0,,,,,
T051,696.0,,,,,
T051,697.0,,,,,
T051,698.0,,,,,
T051,699.0,,,,,
T051,700.0,,,,,
T051,701.0,,,,,
T051,702.0,,,,,
T051,703.0,,,,,
T051,704.0,,,,,
T051,705.0,,,,,
T051,706.0,,,,,
T051,707.0,,,,,
T051,708.0,,,,,
T051,709.0,,,,,
T051,710.0,,,,,
T051,711.0,,,,,
T051,712.0,,,,,
T051,713.0,,,,,
T051,714.0,,,,,
T051,715.0,,,,,
T051,716.0,,,,,
T051,717.0,,,,,
T051,718.0,,,,,
T051,719.0,,,,,
T051,720.0,,,,,
T051,721.0,,,,,
T051,722.0,,,,,
T051,723.0,,,,,
T051,724.0,,,,,
T051,725.0,,,,,
T051,726.0,,,,,
T051,727.0,,,,,
T051,728.0,,,,,
T051,729.0,,,,,
T051,730.0,,,,,
T051,731.0,,,,,
T051,732.0,,,,,
T051,733.0,,,,,
T051,734.0,,,,,
T051,735.0,,,,,
T051,736.0,,,,,
T051,737.0,,,,,
T051,738.0,,,,,
T051,739.0,,,,,
T051,740.0,,,,,
T051,741.0,,,,,
T051,742.0,,,,,
T051,743.0,,,,,
T051,744.0,,,,,
T051,745.0,,,,,
T051,746.0,,,,,
T051,747.0,,,,,
T051,748.0,,,,,
T051,749.0,,,,,
T051,750.0,,,,,
T051,751.0,,,,,
T051,752.0,,,,,
T051,753.0,,,,,
T051,754.0,,,,,
T051,755.0,,,,,
T051,756.0,,,,,
T051,757.0,,,,,
T051,758.0,,,,,
T051,759.0,,,,,
T051,760.0,,,,,
T051,761.0,,,,,
T051,762.0,,,,,
T051,763.0,,,,,
T051,764.0,,,,,
T051,765.0,,,,,
T051,766.0,,,,,
T051,767.0,,,,,
